count_location_id,countline_name,channel_type,traffic_eligible,review_status,notes
58255,S29_LaTrobeSt_road_LHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58256,S29_LaTrobeSt_road_RHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58257,S29_SpencerSt_road_LHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58258,S29_SpencerSt_road_RHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58366,S29_LaTrobeSt_road_LHS__top_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58367,S29_LaTrobeSt_road_RHS__top_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58503,S31_GrattanSt_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58510,,unknown,false,ambiguous,Source countlineName and coordinates are blank/null in 2026 YTD; no invented label.
58511,S31_GrattanSt_cycleLn_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58512,S31_GrattanSt_crossing_LHS_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58513,S31_GrattanSt_crossing_RHS_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58514,,unknown,false,ambiguous,Source countlineName and coordinates are blank/null in 2026 YTD; no invented label.
58516,S31_GrattanSt_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58517,S31_RoyalParade_road_LHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58518,S32_MacaulaySt_cycleLn_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58519,S32_MacaulaySt_road_south_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58520,S32_StubbsSt_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58521,S32_MacaulaySt_road_north_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58522,S33_ExhibitionSt_cycleLn_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58523,S33_ExhibitionSt_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58524,S33_ExhibitionSt_cycleLn_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58525,S33_ExhibitionSt_crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58527,S34_MooneePondscreek_path_south_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58528,S34_MooneePondscreek_path_east_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58529,S34_MooneePondscreek_path_west_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58530,S35_ExhibitionSt_cycleLn_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58531,S35_ExhibitionSt_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58532,S35_ExhibitionSt_cycleLn_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58533,S35_LaTrobeSt_cycleLn_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58535,S35_LaTrobeSt_cycleLn_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58616,S36_ElizabethSt_path_clm01,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58617,S36_ElizabethSt_road_clm01,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58618,S36_CollinsSt_road_1_clm01,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58619,S36_CollinsSt_road_2_clm01,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58620,S36_CollinsSt_road_3_clm01,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58621,S36_CollinsSt_path_clm01,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58798,S37_CapitalCityTrail_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58799,S37_CapitalCityTrail_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58824,S38_StKildaRd_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58825,S38_ArtsCentre_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58860,S37_CapitalCityTrail_cycleLane_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58893,S2_SwanstonSt_cycleLane_north_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58894,S2_SwanstonSt_road_north_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58895,S2_SwanstonSt_cycleLane_north_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58896,S2_FranklinSt_road_east_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58897,S2_SwanstonSt_elevatorEntrance_bn003,other,false,excluded,Elevator entrance label; excluded from motor-vehicle traffic target.
58898,S2_SwanstonSt_cycleLane_south_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58899,S2_SwanstonSt_road_south_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58900,S2_SwanstonSt_crossing_south_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58901,S2_FranklinSt_road_west_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58902,S2_FranklinSt_crossing_west_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
59435,S39_AbbotsfordSt_cycleLane_south_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59436,S39_AbbotsfordSt_cycleLane_north_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59437,S39_AbbotsfordSt_road_south_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
59438,S39_ArdenSt_cycleLane_south_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59439,S39_ArdenSt_cycleLane_north_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59440,S39_ArdenSt_road_west_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
59441,S39_AbbotsfordSt_crossing_east_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
59442,S39_AbbotsfordSt_crossing_north_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
59486,S25_CycleLn_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59487,S25_DomainRd_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
59488,S25_DomainRd_road_2_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
59489,S25_DomainRd_crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
59490,S25_DomainRd_road_1_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
59491,S25_StKildaRd_crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
59492,S25_StKildaRd_cycle_bn003,cycle,false,excluded,Explicit cycle label; excluded from motor-vehicle traffic target.
59493,S25_StKildaRd_crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
59658,S41_SwanstonSt_road_north_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
59659,S41_SwanstonSt_road_south_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
59660,S41_GrattonSt_road_west_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
59661,S41_SwanstonSt_cyclelane_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59662,S41_SwanstonSt_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
59663,S41_SwanstonSt_cyclelane_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59664,S41_GrattonSt_cyclelane_west_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59665,S41_GrattonSt_path_west_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
59666,S41_GrattonSt_cyclelane_west_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59667,S41_GrattonSt_cyclelane_east_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59668,S41_GrattonSt_cyclelane_east_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
59669,S41_GrattonSt_path_east_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
